engine,elapsed_s,txn_index,success,latency_ms,error_message
tidb,3.69,644,1,6.295,
tidb,3.69,645,1,6.291,
tidb,3.70,646,1,6.431,
tidb,3.71,647,1,4.687,
tidb,3.71,648,1,5.271,
tidb,3.72,649,1,5.648,
tidb,3.72,650,1,4.381,
tidb,3.73,651,1,4.498,
tidb,3.73,652,1,3.642,
tidb,3.74,653,1,3.903,
tidb,3.74,654,1,3.391,
tidb,3.74,655,1,4.139,
tidb,3.75,656,1,5.010,
tidb,3.75,657,1,5.371,
tidb,3.76,658,1,5.648,
tidb,3.76,659,1,5.794,
tidb,3.77,660,1,6.672,
tidb,3.78,661,1,6.815,
tidb,3.78,662,1,7.365,
tidb,3.79,663,1,5.047,
tidb,3.80,664,1,4.962,
tidb,3.80,665,1,3.604,
tidb,3.80,666,1,4.723,
tidb,3.81,667,1,5.472,
tidb,3.81,668,1,5.642,
tidb,3.82,669,1,6.016,
tidb,3.83,670,1,5.829,
tidb,3.83,671,1,5.221,
tidb,3.84,672,1,5.862,
tidb,3.84,673,1,6.247,
tidb,3.85,674,1,6.187,
tidb,3.86,675,1,7.052,
tidb,3.86,676,1,7.484,
tidb,3.87,677,1,7.396,
tidb,3.88,678,1,7.131,
tidb,3.88,679,1,7.093,
tidb,3.89,680,1,7.395,
tidb,3.90,681,1,7.255,
tidb,3.91,682,1,7.330,
tidb,3.91,683,1,6.363,
tidb,3.92,684,1,4.426,
tidb,3.92,685,1,5.124,
tidb,3.93,686,1,5.625,
tidb,3.94,687,1,5.527,
tidb,3.94,688,1,5.580,
tidb,3.95,689,1,6.452,
tidb,3.95,690,1,5.901,
tidb,3.96,691,1,7.256,
tidb,3.97,692,1,7.051,
tidb,3.97,693,1,7.401,
tidb,3.98,694,1,7.401,
tidb,3.99,695,1,7.345,
tidb,4.00,696,1,10.352,
tidb,4.01,697,1,6.935,
tidb,4.01,698,1,6.135,
tidb,4.02,699,1,5.393,
tidb,4.03,700,1,5.828,
tidb,4.03,701,1,6.513,
tidb,4.04,702,1,7.263,
tidb,4.04,703,1,5.310,
tidb,4.05,704,1,4.830,
tidb,4.06,705,1,4.615,
tidb,4.06,706,1,4.369,
tidb,4.06,707,1,4.942,
tidb,4.07,708,1,5.248,
tidb,4.07,709,1,5.768,
tidb,4.08,710,1,5.465,
tidb,4.09,711,1,6.659,
tidb,4.09,712,1,6.591,
tidb,4.10,713,1,6.008,
tidb,4.11,714,1,7.344,
tidb,4.11,715,1,7.214,
tidb,4.12,716,1,6.339,
tidb,4.13,717,1,7.223,
tidb,4.13,718,1,8.360,
tidb,4.14,719,1,6.770,
tidb,4.15,720,1,6.715,
tidb,4.16,721,1,7.588,
tidb,4.16,722,1,7.365,
tidb,4.17,723,1,4.651,
tidb,4.18,724,1,4.834,
tidb,4.18,725,1,4.517,
tidb,4.18,726,1,4.237,
tidb,4.19,727,1,4.093,
tidb,4.19,728,1,4.516,
tidb,4.20,729,1,5.163,
tidb,4.20,730,1,5.764,
tidb,4.21,731,1,4.924,
tidb,4.21,732,1,5.687,
tidb,4.22,733,1,6.235,
tidb,4.23,734,1,4.505,
tidb,4.23,735,1,5.044,
tidb,4.24,736,1,5.313,
tidb,4.24,737,1,4.444,
tidb,4.24,738,1,4.844,
tidb,4.25,739,1,4.270,
tidb,4.25,740,1,4.508,
tidb,4.26,741,1,4.473,
tidb,4.26,742,1,4.636,
tidb,4.27,743,1,5.865,
tidb,4.27,744,1,5.411,
tidb,4.28,745,1,5.447,
tidb,4.28,746,1,5.193,
tidb,4.29,747,1,4.530,
tidb,4.29,748,1,4.153,
tidb,4.30,749,1,3.963,
tidb,4.30,750,1,4.772,
tidb,4.31,751,1,4.712,
tidb,4.31,752,1,6.038,
tidb,4.32,753,1,4.857,
tidb,4.32,754,1,4.158,
tidb,4.33,755,1,4.461,
tidb,4.33,756,1,4.812,
tidb,4.34,757,1,5.130,
tidb,4.34,758,1,4.483,
tidb,4.35,759,1,4.557,
tidb,4.35,760,1,4.323,
tidb,4.36,761,1,4.131,
tidb,4.36,762,1,3.924,
tidb,4.36,763,1,4.252,
tidb,4.37,764,1,4.689,
tidb,4.37,765,1,4.313,
tidb,4.38,766,1,4.036,
tidb,4.38,767,1,3.900,
tidb,4.38,768,1,4.110,
tidb,4.39,769,1,4.205,
tidb,4.39,770,1,4.022,
tidb,4.40,771,1,5.084,
tidb,4.40,772,1,5.238,
tidb,4.41,773,1,5.626,
tidb,4.41,774,1,5.513,
tidb,4.42,775,1,5.698,
tidb,4.42,776,1,6.229,
tidb,4.43,777,1,6.642,
tidb,4.44,778,1,6.495,
tidb,4.44,779,1,6.339,
tidb,4.45,780,1,6.711,
tidb,4.46,781,1,6.976,
tidb,4.46,782,1,6.887,
tidb,4.47,783,1,6.618,
tidb,4.48,784,1,6.287,
tidb,4.48,785,1,5.148,
tidb,4.49,786,1,5.746,
tidb,4.49,787,1,6.134,
tidb,4.50,788,1,6.355,
tidb,4.51,789,1,7.186,
tidb,4.51,790,1,7.374,
tidb,4.52,791,1,7.977,
tidb,4.53,792,1,6.883,
tidb,4.54,793,1,7.098,
tidb,4.54,794,1,7.887,
tidb,4.55,795,1,7.003,
tidb,4.56,796,1,6.232,
tidb,4.57,797,1,6.968,
tidb,4.57,798,1,7.572,
tidb,4.58,799,1,6.970,
tidb,4.59,800,1,6.836,
tidb,4.59,801,1,6.856,
tidb,4.60,802,1,8.129,
tidb,4.61,803,1,6.866,
tidb,4.62,804,1,6.421,
tidb,4.62,805,1,6.416,
tidb,4.63,806,1,7.594,
tidb,4.64,807,1,5.966,
tidb,4.64,808,1,6.374,
tidb,4.65,809,1,5.953,
tidb,4.66,810,1,6.645,
tidb,4.66,811,1,6.711,
tidb,4.67,812,1,7.043,
tidb,4.68,813,1,6.982,
tidb,4.68,814,1,7.632,
tidb,4.69,815,1,7.865,
